,Tên xe,Giá,Năm sản xuất,Kiểu dáng,Tình trạng,Xuất xứ,Số km đã đi,Tỉnh thành,Hộp số,Nhiên liệu
119, BMW 328i GT 2014,899000000,2014,Sedan,Đãquasửdụng,Nhậpkhẩu,82.000km,HàNội,,
120, Toyota Innova 2.0G 2017,465000000,2017,MPV,Đãquasửdụng,Nhậpkhẩu,60.000km,Tp.HCM,Sốtay,Xăng
121, Hyundai Grand Starex 2.4 MT 2009,250000000,2009,Van/Minivan,Đãquasửdụng,Nhậpkhẩu,100.000km,HàNội,Sốtay,Xăng
122, Hyundai Santa Fe SLX 2010,460000000,2010,SUV,Đãquasửdụng,Nhậpkhẩu,150.000km,Tp.HCM,Sốtựđộng,Xăng
123, Toyota Camry 2.5Q 2013,650000000,2013,Sedan,Đãquasửdụng,Trongnước,8.600km,HàNội,Sốtựđộng,Xăng
124, Mazda 2 1.5AT 2017,405000000,2017,Sedan,Đãquasửdụng,Trongnước,,HảiPhòng,Sốtựđộng,Xăng
125, Ford Fiesta 1.5AT Titanium 2016,325000000,2016,Sedan,Đãquasửdụng,Trongnước,71.000km,Tp.HCM,Sốtựđộng,Xăng
126, Toyota Fortuner 2.4 MT 4x2 2017,810000000,2017,SUV,Đãquasửdụng,Nhậpkhẩu,68.000km,Tp.HCM,Sốtay,
127, Mercedes-Benz GLK300 2009,485000000,2009,SUV,Đãquasửdụng,Trongnước,,Tp.HCM,Sốtựđộng,Xăng
128, Volkswagen Polo 1.6AT 2017,488000000,2017,Sedan,Đãquasửdụng,Nhậpkhẩu,,HàNội,Sốtựđộng,Xăng
129, Ford Ranger XLS 2.2 4x2 AT 2018,642000000,2018,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,15.000km,HàNội,Sốtựđộng,Diesel
130, Toyota Camry 2.5Q 2018,898000000,2018,Sedan,Đãquasửdụng,Trongnước,50.000km,HàNội,Sốtựđộng,Xăng
131, Toyota Yaris 1.3G 2014,380000000,2014,Hatchback,Đãquasửdụng,Nhậpkhẩu,92.000km,Tp.HCM,Sốtựđộng,Xăng
132, Toyota Camry 1993,127000000,1993,Sedan,Đãquasửdụng,Nhậpkhẩu,68.000km,Tp.HCM,Sốtựđộng,Xăng
133, Ford Everest 2.5AT 2016,565000000,2016,SUV,Đãquasửdụng,Nhậpkhẩu,6.000km,Tp.HCM,Sốtựđộng,Diesel
134, BMW 328i GT 2014,899000000,2014,Sedan,Đãquasửdụng,Nhậpkhẩu,82.000km,HàNội,,
135, Toyota Innova 2.0G 2017,465000000,2017,MPV,Đãquasửdụng,Nhậpkhẩu,60.000km,Tp.HCM,Sốtay,Xăng
136, Hyundai Grand Starex 2.4 MT 2009,250000000,2009,Van/Minivan,Đãquasửdụng,Nhậpkhẩu,100.000km,HàNội,Sốtay,Xăng
137, Hyundai Santa Fe SLX 2010,460000000,2010,SUV,Đãquasửdụng,Nhậpkhẩu,150.000km,Tp.HCM,Sốtựđộng,Xăng
138, Toyota Camry 2.5Q 2013,650000000,2013,Sedan,Đãquasửdụng,Trongnước,8.600km,HàNội,Sốtựđộng,Xăng
139, Mazda 2 1.5AT 2017,405000000,2017,Sedan,Đãquasửdụng,Trongnước,,HảiPhòng,Sốtựđộng,Xăng
140, Ford Fiesta 1.5AT Titanium 2016,325000000,2016,Sedan,Đãquasửdụng,Trongnước,71.000km,Tp.HCM,Sốtựđộng,Xăng
141, Toyota Fortuner 2.4 MT 4x2 2017,810000000,2017,SUV,Đãquasửdụng,Nhậpkhẩu,68.000km,Tp.HCM,Sốtay,
142, Mercedes-Benz GLK300 2009,485000000,2009,SUV,Đãquasửdụng,Trongnước,,Tp.HCM,Sốtựđộng,Xăng
143, Volkswagen Polo 1.6AT 2017,488000000,2017,Sedan,Đãquasửdụng,Nhậpkhẩu,,HàNội,Sốtựđộng,Xăng
144, Ford Ranger XLS 2.2 4x2 AT 2018,642000000,2018,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,15.000km,HàNội,Sốtựđộng,Diesel
145, Toyota Camry 2.5Q 2018,898000000,2018,Sedan,Đãquasửdụng,Trongnước,50.000km,HàNội,Sốtựđộng,Xăng
146, Toyota Yaris 1.3G 2014,380000000,2014,Hatchback,Đãquasửdụng,Nhậpkhẩu,92.000km,Tp.HCM,Sốtựđộng,Xăng
147, Toyota Camry 1993,127000000,1993,Sedan,Đãquasửdụng,Nhậpkhẩu,68.000km,Tp.HCM,Sốtựđộng,Xăng
148, Ford Everest 2.5AT 2016,565000000,2016,SUV,Đãquasửdụng,Nhậpkhẩu,6.000km,Tp.HCM,Sốtựđộng,Diesel
149, BMW 328i GT 2014,899000000,2014,Sedan,Đãquasửdụng,Nhậpkhẩu,82.000km,HàNội,,
150, Toyota Innova 2.0G 2017,465000000,2017,MPV,Đãquasửdụng,Nhậpkhẩu,60.000km,Tp.HCM,Sốtay,Xăng
151, Hyundai Grand Starex 2.4 MT 2009,250000000,2009,Van/Minivan,Đãquasửdụng,Nhậpkhẩu,100.000km,HàNội,Sốtay,Xăng
152, Hyundai Santa Fe SLX 2010,460000000,2010,SUV,Đãquasửdụng,Nhậpkhẩu,150.000km,Tp.HCM,Sốtựđộng,Xăng
153, Toyota Camry 2.5Q 2013,650000000,2013,Sedan,Đãquasửdụng,Trongnước,8.600km,HàNội,Sốtựđộng,Xăng
154, Mazda 2 1.5AT 2017,405000000,2017,Sedan,Đãquasửdụng,Trongnước,,HảiPhòng,Sốtựđộng,Xăng
155, Ford Fiesta 1.5AT Titanium 2016,325000000,2016,Sedan,Đãquasửdụng,Trongnước,71.000km,Tp.HCM,Sốtựđộng,Xăng
156, Toyota Fortuner 2.4 MT 4x2 2017,810000000,2017,SUV,Đãquasửdụng,Nhậpkhẩu,68.000km,Tp.HCM,Sốtay,
157, Mercedes-Benz GLK300 2009,485000000,2009,SUV,Đãquasửdụng,Trongnước,,Tp.HCM,Sốtựđộng,Xăng
158, Volkswagen Polo 1.6AT 2017,488000000,2017,Sedan,Đãquasửdụng,Nhậpkhẩu,,HàNội,Sốtựđộng,Xăng
159, Ford Ranger XLS 2.2 4x2 AT 2018,642000000,2018,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,15.000km,HàNội,Sốtựđộng,Diesel
160, Toyota Camry 2.5Q 2018,898000000,2018,Sedan,Đãquasửdụng,Trongnước,50.000km,HàNội,Sốtựđộng,Xăng
161, Toyota Yaris 1.3G 2014,380000000,2014,Hatchback,Đãquasửdụng,Nhậpkhẩu,92.000km,Tp.HCM,Sốtựđộng,Xăng
162, Toyota Camry 1993,127000000,1993,Sedan,Đãquasửdụng,Nhậpkhẩu,68.000km,Tp.HCM,Sốtựđộng,Xăng
163, Ford Everest 2.5AT 2016,565000000,2016,SUV,Đãquasửdụng,Nhậpkhẩu,6.000km,Tp.HCM,Sốtựđộng,Diesel
164, BMW 328i GT 2014,899000000,2014,Sedan,Đãquasửdụng,Nhậpkhẩu,82.000km,HàNội,,
165, Toyota Innova 2.0G 2017,465000000,2017,MPV,Đãquasửdụng,Nhậpkhẩu,60.000km,Tp.HCM,Sốtay,Xăng
166, Hyundai Grand Starex 2.4 MT 2009,250000000,2009,Van/Minivan,Đãquasửdụng,Nhậpkhẩu,100.000km,HàNội,Sốtay,Xăng
167, Hyundai Santa Fe SLX 2010,460000000,2010,SUV,Đãquasửdụng,Nhậpkhẩu,150.000km,Tp.HCM,Sốtựđộng,Xăng
168, Toyota Camry 2.5Q 2013,650000000,2013,Sedan,Đãquasửdụng,Trongnước,8.600km,HàNội,Sốtựđộng,Xăng
