Tên xe,Giá,Năm sản xuất,Kiểu dáng,Tình trạng,Xuất xứ,Số km đã đi,Tỉnh thành,Hộp số,Nhiên liệu
Nissan Navara XE 2.5 AT 2019,635000000,2019,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,53.000km,Tp.HCM,Sốtựđộng,Diesel
Ford Everest Titanium 2.0 AT 4x2 2018,1038000000,2018,SUV,Đãquasửdụng,Nhậpkhẩu,53.000km,Tp.HCM,Sốtựđộng,
Acura MDX 2008,660000000,2008,SUV,Đãquasửdụng,Nhậpkhẩu,110.000km,HàNội,Sốtựđộng,Xăng
MG HS 2.0T AWD Trophy 2020,735000000,2020,SUV,Đãquasửdụng,Nhậpkhẩu,27.000km,HàNội,Sốtựđộng,Xăng
Lexus RX 350 L 2019,4065000000,2019,SUV,Đãquasửdụng,Nhậpkhẩu,15.000km,HàNội,Sốtựđộng,Xăng
Mazda CX-5 2.0L AT FWD 2013,550000000,2013,SUV,Đãquasửdụng,Trongnước,70.000km,HàNội,Sốtựđộng,
Ford Ranger XLS 2.2 4x2 AT 2020,690000000,2020,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,34.000km,Tp.HCM,Sốtựđộng,Diesel
Hyundai Accent 1.4AT Đặc biệt 2020,512000000,2020,Sedan,Đãquasửdụng,Trongnước,36.000km,BìnhPhước,Sốtựđộng,Xăng
Toyota Camry 2.5Q 2018,920000000,2018,Sedan,Đãquasửdụng,Trongnước,50.000km,Tp.HCM,Sốtựđộng,Xăng
Volkswagen Tiguan Allspace 2018,1360000000,2018,SUV,Đãquasửdụng,Nhậpkhẩu,36.000km,HàNội,Sốtựđộng,
Ford Ranger XLT 2.5 4X4 AT 2019,800000000,2019,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,42.000km,Tp.HCM,Sốtựđộng,Diesel
Hyundai Santa Fe 2.2L (Máy dầu) cao cấp 2019,1180000000,2019,SUV,Đãquasửdụng,Trongnước,20.000km,HàNội,Sốtựđộng,Diesel
Porsche Macan 2.0 2017,2650000000,2017,SUV,Đãquasửdụng,Nhậpkhẩu,29.000km,HàNội,Sốtựđộng,Xăng
Ford EcoSport Titanium 1.5L AT 2017,475000000,2017,SUV,Đãquasửdụng,Trongnước,51.968km,HàNội,Sốtựđộng,Xăng
Toyota Sienna Limited 3.5 AT AWD 2016,2645000000,2016,Van/Minivan,Đãquasửdụng,Nhậpkhẩu,67.000km,HàNội,Sốtựđộng,Xăng
Mercedes-Benz GLC 300 4MATIC 2018,1750000000,2018,SUV,Đãquasửdụng,Nhậpkhẩu,43.000km,Tp.HCM,Sốtựđộng,Xăng
Ford Escape 2010,325000000,2010,SUV,Đãquasửdụng,Trongnước,88.000km,Tp.HCM,Sốtựđộng,Xăng
Toyota Yaris 1.5G 2017,515000000,2017,Hatchback,Đãquasửdụng,Nhậpkhẩu,23.000km,Tp.HCM,Sốtựđộng,Xăng
Chevrolet Orlando LTZ 2012,335000000,2012,MPV,Đãquasửdụng,Trongnước,50.000km,Tp.HCM,Sốtựđộng,Xăng
Mercedes-Benz S350 2006,630000000,2006,Sedan,Đãquasửdụng,Nhậpkhẩu,22.000km,HàNội,Sốtựđộng,Xăng
Hyundai Elantra 1.6 AT 2018,515000000,2018,Sedan,Đãquasửdụng,Trongnước,HàNội,Sốtựđộng,Xăng
Mazda BT-50 2.2AT 2WD 2014,202000000,2014,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,HàNội,Sốtựđộng,Diesel
Mercedes-Benz C 250 Exclusive 2015,975000000,2015,Sedan,Đãquasửdụng,Trongnước,60.000km,HàNội,Sốtựđộng,Xăng
Porsche Panamera 3.0 V6 2010,1550000000,2010,Sedan,Đãquasửdụng,Nhậpkhẩu,HàNội,Sốtựđộng,Xăng
Daewoo Lacetti 2010,215000000,2010,Sedan,Đãquasửdụng,Nhậpkhẩu,120.000km,ThanhHóa,Sốtay,Xăng
Ford Ranger Raptor 2.0L AT 4x4 2020,1350000000,2020,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,10.000km,HàNội,Sốtựđộng,Xăng
Mitsubishi Pajero 2004,160000000,2004,SUV,Đãquasửdụng,Nhậpkhẩu,200.000km,HàNội,Sốtay,Xăng
BMW 730Li 2.0 2018,3290000000,2018,Sedan,Đãquasửdụng,Nhậpkhẩu,30.000km,HàNội,Sốtựđộng,Xăng
BMW X1 sDrive18i 2018,1350000000,2018,SUV,Đãquasửdụng,Trongnước,44.000km,Tp.HCM,Sốtựđộng,Xăng
Lexus IS 250 2009,1150000000,2009,Convertible,Đãquasửdụng,Nhậpkhẩu,55.000km,ĐồngNai,Sốtựđộng,Xăng
Lexus IS 250 2009,1150000000,2009,Convertible,Đãquasửdụng,Nhậpkhẩu,55.000km,BìnhDương,Sốtựđộng,Xăng
Ford Ranger XLT 2.5 4x4 MT 2013,450000000,2013,Pick-upTruck,Đãquasửdụng,Trongnước,Tp.HCM,Sốtay,
Ford Mustang EcoBoost 2018,2100000000,2018,Coupe,Đãquasửdụng,Nhậpkhẩu,24.000km,ĐồngNai,Sốtựđộng,Xăng
Ford Mustang EcoBoost 2018,2100000000,2018,Coupe,Đãquasửdụng,Nhậpkhẩu,24.000km,BìnhDương,Sốtựđộng,Xăng
Toyota Fortuner 2.5G 4x2MT 2014,640000000,2014,SUV,Đãquasửdụng,Trongnước,HàNội,Sốtay,Diesel
Porsche Macan 2.0 2015,2680000000,2015,SUV,Đãquasửdụng,Nhậpkhẩu,60.000km,HàNội,Sốtựđộng,Xăng
Porsche 718 Cayman 2.0 2020,5199000000,2020,SportCar,Đãquasửdụng,Nhậpkhẩu,5.000km,HàNội,Sốtựđộng,Xăng
Rolls-Royce Ghost Series II  2015,18900000000,2015,Sedan,Đãquasửdụng,Nhậpkhẩu,30.000km,HàNội,Sốtựđộng,Xăng
Hyundai Santa Fe 2.4L (Máy xăng) đặc biệt 2019,1029000000,2019,SUV,Đãquasửdụng,Trongnước,32.000km,BìnhDương,Sốtựđộng,Xăng
Ford Focus 1.8L 2012,335000000,2012,Hatchback,Đãquasửdụng,Trongnước,112.000km,Tp.HCM,Sốtựđộng,Xăng
Audi A6 1.8 TFSI 2017,1370000000,2017,Sedan,Đãquasửdụng,Nhậpkhẩu,30.000km,HàNội,Sốhỗnhợp,Xăng
Ford Ranger Wildtrak 2.0L 4x4 AT 2018,845000000,2018,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,30.000km,Tp.HCM,Sốtựđộng,Diesel
Chevrolet Spark Van 2016,215000000,2016,Hatchback,Đãquasửdụng,Nhậpkhẩu,60.000km,HàNội,Sốtựđộng,Xăng
Kia Morning 2009,139000000,2009,Hatchback,Đãquasửdụng,Nhậpkhẩu,86.000km,HàNội,Sốtựđộng,Xăng
Mazda BT-50 3.2 AT 4x4 2014,445000000,2014,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,120.000km,HàNội,Sốtựđộng,Diesel
Kia Carens 2.0AT 2011,295000000,2011,CUV,Đãquasửdụng,Trongnước,100.000km,HàNội,Sốtựđộng,Xăng
Ford Everest Titanium 2.0 AT 4x2 2018,995000000,2018,SUV,Đãquasửdụng,Nhậpkhẩu,43.000km,Tp.HCM,Sốtựđộng,Diesel
Kia Morning 2010,210000000,2010,Hatchback,Đãquasửdụng,Nhậpkhẩu,110.000km,HảiDương,Sốtựđộng,Xăng
Toyota Vios 1.5G AT 2017,470000000,2017,Sedan,Đãquasửdụng,Trongnước,HàNội,Sốtựđộng,Xăng
Mercedes-Benz GLC 300 4MATIC 2017,1580000000,2017,SUV,Đãquasửdụng,Trongnước,HàNội,Sốtựđộng,Xăng
Ford Escape 2009,360000000,2009,SUV,Đãquasửdụng,Trongnước,95.000km,Tp.HCM,Sốtựđộng,Xăng
Mercedes-Benz GLC 250 4Matic 2017,1450000000,2017,SUV,Đãquasửdụng,Trongnước,36.000km,HàNội,Sốtựđộng,Xăng
Ford Ranger Raptor 2.0L AT 4x4 2016,485000000,2016,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,56.000km,HàNội,Sốtựđộng,Diesel
Ford Ranger Raptor 2.0L AT 4x4 2019,1275000000,2019,Đãquasửdụng,Nhậpkhẩu,45.000km,HàNội,Sốtựđộng,Diesel
Mitsubishi Triton 4x2 AT Mivec 2019,609000000,2019,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,59.000km,Tp.HCM,Sốtựđộng,Diesel
Ford Everest 2.5MT 2011,270000000,2011,SUV,Đãquasửdụng,Nhậpkhẩu,150.000km,Tp.HCM,Sốtay,Xăng
Toyota Fortuner 2011,410000000,2011,SUV,Đãquasửdụng,Trongnước,140.000km,HàNội,Sốtay,
Rolls-Royce Cullinan V12 2020,18900000000,2020,SUV,Đãquasửdụng,Nhậpkhẩu,1.700km,HàNội,Sốtựđộng,Xăng
Rolls-Royce Ghost 2011,7900000000,2011,Sedan,Đãquasửdụng,Nhậpkhẩu,48.000km,HàNội,Sốtựđộng,Xăng
Toyota Fortuner 2.7 V 4X2 AT 2016,690000000,2016,SUV,Đãquasửdụng,Trongnước,55.000km,Tp.HCM,Sốtựđộng,
Toyota Fortuner 2.7 V 4X2 AT 2013,550000000,2013,SUV,Đãquasửdụng,Trongnước,78.000km,Tp.HCM,Sốtựđộng,
Daewoo Lacetti 2010,178000000,2010,Sedan,Đãquasửdụng,Trongnước,68.000km,BìnhDương,Sốtay,Xăng
Toyota Innova 2.0E 2015,385000000,2015,MPV,Đãquasửdụng,Trongnước,70.000km,Tp.HCM,Sốtay,
Land Rover Range Rover Autobiography LWB 5.0 V8 2010,1111000000,2010,SUV,Đãquasửdụng,Nhậpkhẩu,67.899km,HàNội,Sốtựđộng,Xăng
Bentley Flying Spur 2006,1799000000,2006,Sedan,Đãquasửdụng,Nhậpkhẩu,99.999km,HàNội,Sốtựđộng,Xăng
Lexus ES 350 2007,650000000,2007,Sedan,Đãquasửdụng,Nhậpkhẩu,99.999km,HàNội,Sốtựđộng,Xăng
Nissan Juke 1.6L CVT 2016,729000000,2016,Hatchback,Đãquasửdụng,Nhậpkhẩu,56.789km,HàNội,Sốtựđộng,Xăng
Mercedes-Benz C300 AMG 2015,1020000000,2015,Sedan,Đãquasửdụng,Trongnước,99.999km,HàNội,Sốtựđộng,Xăng
Mercedes-Benz E250 AMG 2013,850000000,2013,Sedan,Đãquasửdụng,Trongnước,62.000km,Tp.HCM,Sốtựđộng,
Toyota Innova 2.0V 2013,438000000,2013,MPV,Đãquasửdụng,Trongnước,82.000km,BìnhDương,Sốtựđộng,Xăng
Chevrolet Cruze LT 2017,345000000,2017,Sedan,Đãquasửdụng,Trongnước,36.000km,BìnhDương,Sốtay,Xăng
Mazda 3 1.5 Hatchback 2016,488000000,2016,Hatchback,Đãquasửdụng,Trongnước,30.000km,HàNội,Sốtựđộng,Xăng
Mazda 3 1.5L Sedan 2017,525000000,2017,Sedan,Đãquasửdụng,Trongnước,40.000km,HàNội,Sốtựđộng,Xăng
Ford EcoSport Titanium 1.5L AT 2019,495000000,2019,SUV,Đãquasửdụng,Trongnước,48.000km,Tp.HCM,Sốtựđộng,Xăng
Ford Everest Titanium 2.0L AT 4WD 2019,1219000000,2019,SUV,Đãquasửdụng,Nhậpkhẩu,79.000km,LâmĐồng,Sốtựđộng,Diesel
Toyota Corolla Cross 1.8 V  2020,875000000,2020,SUV,Đãquasửdụng,Nhậpkhẩu,20.000km,HàNội,Sốtựđộng,Xăng
Chevrolet Captiva 2008,245000000,2008,CUV,Đãquasửdụng,Trongnước,112.000km,BìnhDương,Sốtựđộng,Xăng
Mazda CX-5 2.0 Deluxe 2018,740000000,2018,SUV,Đãquasửdụng,Trongnước,40.000km,HàNội,Sốtựđộng,Xăng
Nissan Terra 2.5L V 4WD 7AT 2020,846000000,2020,SUV,Đãquasửdụng,Nhậpkhẩu,42.000km,Tp.HCM,Sốtựđộng,Xăng
Chevrolet Cruze LT 2017,345000000,2017,Sedan,Đãquasửdụng,Trongnước,46.000km,BìnhDương,Sốtay,Xăng
Chevrolet Captiva 2009,245000000,2009,CUV,Đãquasửdụng,Trongnước,77.000km,BìnhDương,Sốtay,Xăng
Chevrolet Aveo MT 2016,225000000,2016,Sedan,Đãquasửdụng,Trongnước,70.000km,BìnhDương,Sốtay,Xăng
Toyota Yaris 1.5G 2017,530000000,2017,Hatchback,Đãquasửdụng,Nhậpkhẩu,79.000km,HàNội,Sốtựđộng,Xăng
Porsche Macan S 2014,2650000000,2014,SUV,Đãquasửdụng,Nhậpkhẩu,43.000km,Tp.HCM,Sốtựđộng,Xăng
Mini Countryman John Cooper Works ALL4 2013,835000000,2013,Hatchback,Đãquasửdụng,Trongnước,HàNội,Sốtựđộng,
Audi Q5 45 TFSI quattro 2022,2600000000,2022,SUV,Đãquasửdụng,Nhậpkhẩu,900km,HàNội,Sốtựđộng,Xăng
Mitsubishi Pajero Sport 3.0 V6 Gasoline 4X2 AT SE 2016,570000000,2016,SUV,Đãquasửdụng,Trongnước,67.000km,Tp.HCM,Sốtựđộng,Xăng
Ford Ranger Wildtrak 2.0L 4x4 AT 2018,845000000,2018,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,30.000km,Tp.HCM,Sốtựđộng,Diesel
Kia Cerato 1.6 AT Luxury 2019,576000000,2019,Sedan,Đãquasửdụng,Trongnước,55.000km,Tp.HCM,Sốtựđộng,Xăng
Honda Accord 2.0 AT 2009,360000000,2009,Sedan,Đãquasửdụng,Nhậpkhẩu,142.000km,Tp.HCM,Sốtựđộng,Xăng
Hyundai Elantra   2.0 AT 2017,505000000,2017,Sedan,Đãquasửdụng,Trongnước,58.400km,BàRịaVũngTàu,Sốtựđộng,Xăng
Hyundai Elantra GLS 2.0 AT 2016,476000000,2016,Sedan,Đãquasửdụng,Trongnước,71.000km,Tp.HCM,Sốtựđộng,Xăng
Lexus NX 200 T 2015,1680000000,2015,SUV,Đãquasửdụng,Nhậpkhẩu,70.000km,HàNội,Sốtựđộng,Xăng
Hyundai Elantra GLS 2.0 AT 2016,385000000,2016,Sedan,Đãquasửdụng,Trongnước,ĐồngNai,Sốtựđộng,Xăng
Mazda CX-5 2.0 Premium 2017,679000000,2017,SUV,Đãquasửdụng,Trongnước,52.000km,Tp.HCM,Sốtựđộng,Xăng
Volkswagen Tiguan 2.0AT 2018,1395000000,2018,SUV,Đãquasửdụng,Nhậpkhẩu,24.140km,HàNội,Sốtựđộng,Xăng
Mercedes-Benz C 250 Exclusive 2015,965000000,2015,Sedan,Đãquasửdụng,Trongnước,75.000km,HàNội,Sốtựđộng,Xăng
Kia Carens 2.0AT 2011,305000000,2011,CUV,Đãquasửdụng,Trongnước,97.000km,Tp.HCM,Sốtựđộng,Xăng
Toyota Fortuner 2.4G 4x2 AT  2020,1085000000,2020,SUV,Đãquasửdụng,Trongnước,24.000km,HàNội,Sốtựđộng,Diesel
BMW 730Li 2.0 2016,2550000000,2016,Sedan,Đãquasửdụng,Nhậpkhẩu,63.000km,HàNội,Sốtựđộng,Xăng
Ford Ranger Wildtrak 2.0L 4x4 AT 2018,770000000,2018,Pick-upTruck,Đãquasửdụng,Trongnước,HàNội,Sốtựđộng,
Chevrolet Spark LT 2018,225000000,2018,Hatchback,Đãquasửdụng,Nhậpkhẩu,50.000km,HàNội,Sốtựđộng,Xăng
Aston Martin Rapide  S 2015,5800000000,2015,Sedan,Đãquasửdụng,Nhậpkhẩu,15.000km,HàNội,Sốtựđộng,Xăng
Hyundai Accent 1.4AT Đặc biệt 2021,565000000,2021,Sedan,Đãquasửdụng,Trongnước,21.000km,LâmĐồng,Sốtựđộng,Xăng
Ford Ranger Wildtrak 2.0L 4x2 AT 2020,839000000,2020,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,16.000km,HàNội,Sốtựđộng,Diesel
Mercedes-Benz C200 Exclusive 2017,1055000000,2017,Sedan,Đãquasửdụng,Nhậpkhẩu,400.000km,HàNội,Sốtựđộng,Xăng
BMW X5 xDrive35i 2017,2450000000,2017,SUV,Đãquasửdụng,Nhậpkhẩu,76.000km,HàNội,Sốtựđộng,Xăng
Toyota Fortuner 2.7 V 4X2 AT 2015,640000000,2015,SUV,Đãquasửdụng,Trongnước,68.000km,HàNội,Sốtựđộng,Xăng
Mercedes-Benz E200 AMG 2016,1460000000,2016,Sedan,Đãquasửdụng,Nhậpkhẩu,50.000km,HàNội,Sốtựđộng,Xăng
Land Rover Range Rover Evoque R-Dynamic SE 2014,1345000000,2014,SUV,Đãquasửdụng,Nhậpkhẩu,66.000km,HàNội,Sốtựđộng,Xăng
Volvo XC40 R-Design 2021,1769000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,1.300km,Tp.HCM,Sốtựđộng,
Toyota Fortuner 2.7 V 4X2 AT 2017,835000000,2017,SUV,Đãquasửdụng,Nhậpkhẩu,46.000km,HàNội,Sốtựđộng,Xăng
Mazda 3 1.6L 2018,579000000,2018,Sedan,Đãquasửdụng,Trongnước,42.000km,HàNội,Sốtựđộng,Xăng
Volvo XC90 T6 Inscription 2015,2720000000,2015,SUV,Đãquasửdụng,Nhậpkhẩu,70.000km,HàNội,Sốtựđộng,Xăng
Lexus LS 500 h 2017,5490000000,2017,Sedan,Đãquasửdụng,Nhậpkhẩu,47.000km,HàNội,Sốtựđộng,Xăng
Kia Cerato 1.6MT 2018,430000000,2018,Sedan,Đãquasửdụng,Trongnước,25.000km,HàNội,Sốtay,Xăng
Mercedes-Benz GL 350 2021,1969000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,111.045km,Tp.HCM,Sốtựđộng,
Porsche Cayenne S 2017,4150000000,2017,SUV,Đãquasửdụng,Trongnước,32.000km,HàNội,Sốtựđộng,Xăng
Isuzu D-Max LS 3.0 4x4 AT 2019,686000000,2019,Pick-upTruck,Đãquasửdụng,Trongnước,52.000km,Tp.HCM,Sốtựđộng,Diesel
Toyota Vios 1.5G AT 2017,455000000,2017,Sedan,Đãquasửdụng,Trongnước,HàNội,Sốtựđộng,Xăng
Kia Carens S 2.0 AT 2014,415000000,2014,CUV,Đãquasửdụng,Trongnước,58.000km,Tp.HCM,Sốtựđộng,Xăng
Honda Brio RS 2019,398000000,2019,Hatchback,Đãquasửdụng,Nhậpkhẩu,46.000km,Tp.HCM,Sốtựđộng,Xăng
Mazda 3 1.5L Sedan 2017,545000000,2017,Sedan,Đãquasửdụng,Trongnước,60.000km,HàNội,Sốtựđộng,Xăng
Ford Ranger XLS 2.2 4x2 MT 2015,495000000,2015,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,87.000km,Tp.HCM,Sốtựđộng,Diesel
Mercedes-Benz C200 Exclusive 2021,1639000000,2021,Sedan,Đãquasửdụng,Trongnước,19.312km,Tp.HCM,Sốtựđộng,
Audi A8 4.2L 2016,2770000000,2016,Sedan,Đãquasửdụng,Nhậpkhẩu,60.000km,HàNội,Sốtựđộng,Xăng
Mazda 3 1.5L Sedan 2018,530000000,2018,Sedan,Đãquasửdụng,Trongnước,51.000km,BắcGiang,Sốtựđộng,Xăng
Toyota Innova 2.0G 2017,640000000,2017,MPV,Đãquasửdụng,Trongnước,63.300km,Tp.HCM,Sốtựđộng,Xăng
Mazda CX-5 2.0 Premium 2020,870000000,2020,SUV,Đãquasửdụng,Trongnước,40.000km,HàNội,Sốtựđộng,Xăng
Ford Ranger Wildtrak 2.0L 4x4 AT 2018,350000000,2018,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,63.000km,Tp.HCM,Sốtựđộng,Diesel
Lexus RX 350 L 2020,4189000000,2020,SUV,Đãquasửdụng,Nhậpkhẩu,12.345km,HàNội,Sốtựđộng,Xăng
Lexus ES 350 2012,590000000,2012,Sedan,Đãquasửdụng,Nhậpkhẩu,60.000km,Tp.HCM,Sốtựđộng,Xăng
Porsche Cayenne S 2016,4150000000,2016,SUV,Đãquasửdụng,Nhậpkhẩu,50.000km,HàNội,Sốtựđộng,Xăng
Ford EcoSport Titanium 1.5L AT 2015,370000000,2015,SUV,Đãquasửdụng,Trongnước,80.000km,BắcGiang,Sốtựđộng,Xăng
Porsche Cayenne S 2018,6750000000,2018,SUV,Đãquasửdụng,Nhậpkhẩu,50.000km,HàNội,Sốtựđộng,Xăng
Mini Cooper 5 cửa 2017,1460000000,2017,SUV,Đãquasửdụng,Nhậpkhẩu,33.000km,HàNội,Sốtựđộng,Xăng
Porsche Macan 2.0 AT 2019,3880000000,2019,SUV,Đãquasửdụng,Nhậpkhẩu,16.000km,HàNội,Sốtựđộng,Xăng
Ford Explorer Limited 2018,1699000000,2018,SUV,Đãquasửdụng,Nhậpkhẩu,72.000km,HàNội,Sốtựđộng,Xăng
Audi Q5 2.0T 2018,1890000000,2018,SUV,Đãquasửdụng,Nhậpkhẩu,33.000km,HàNội,Sốtựđộng,Xăng
Ford Ranger XLS 2.2 4x2 AT 2017,555000000,2017,Pick-upTruck,Đãquasửdụng,Trongnước,HàNội,Sốtựđộng,Diesel
Ford Everest 2007,165000000,2007,SUV,Đãquasửdụng,Trongnước,HàNội,
VinFast LUX A2.0 Cao cấp 2021,780000000,2021,Sedan,Đãquasửdụng,Trongnước,4.000km,HàNội,Sốtựđộng,
Toyota Innova 2.0E 2017,375000000,2017,MPV,Đãquasửdụng,Trongnước,58.000km,Tp.HCM,Sốtay,Xăng
Alfa Romeo 159 2010,670000000,2010,Sedan,Đãquasửdụng,Nhậpkhẩu,68.000km,Tp.HCM,Sốtựđộng,Xăng
Mazda 2 1.5AT 2019,520000000,2019,Sedan,Đãquasửdụng,Trongnước,HàNội,Sốtựđộng,
Audi A8 L 55 TFSI quattro 2015,2500000000,2015,Sedan,Đãquasửdụng,Nhậpkhẩu,80.000km,HàNội,Sốtựđộng,Xăng
Mazda CX-5 2.5 Premium AT 2WD 2018,815000000,2018,SUV,Đãquasửdụng,Trongnước,HàNội,Sốtựđộng,
Mazda 6 2.0L Luxury 2015,545000000,2015,Sedan,Đãquasửdụng,Trongnước,100.000km,HàNội,Sốtựđộng,Xăng
Mercedes-AMG G 63 Editon One 2020,13600000000,2020,SUV,Đãquasửdụng,Nhậpkhẩu,9.500km,HàNội,Sốtựđộng,Xăng
Mazda 323 1995,39000000,1995,Sedan,Đãquasửdụng,Trongnước,HàNội,
BMW X1 sDrive18i xLine 2010,398000000,2010,SUV,Đãquasửdụng,Nhậpkhẩu,HàNội,Sốtựđộng,
Porsche Panamera 4 Executive 2019,5950000000,2019,Sedan,Đãquasửdụng,Nhậpkhẩu,26.000km,HàNội,Sốtựđộng,Xăng
Audi Q2 35 TFSI COD 2018,1355000000,2018,SUV,Đãquasửdụng,Nhậpkhẩu,38.000km,HàNội,Sốtựđộng,Xăng
Mercedes-Benz E250 E250 2018,1820000000,2018,Sedan,Đãquasửdụng,Trongnước,35.406km,HàNội,Sốtựđộng,Xăng
Hyundai Grand i10 Sedan 1.2 AT 2015,300000000,2015,Sedan,Đãquasửdụng,Nhậpkhẩu,78.000km,Tp.HCM,Sốtựđộng,Xăng
Mercedes-Benz C300 AMG 2014,695000000,2014,Sedan,Đãquasửdụng,Trongnước,56.327km,HàNội,Sốtựđộng,Xăng
Mercedes-Benz S400 S400 2014,2150000000,2014,Sedan,Đãquasửdụng,Trongnước,83.686km,HàNội,Sốtựđộng,Xăng
BMW 535i GT 2012,790000000,2012,Sedan,Đãquasửdụng,Nhậpkhẩu,76.500km,Tp.HCM,Sốtựđộng,Xăng
Mazda 2 Sedan 1.5L Luxury 2019,488000000,2019,Sedan,Đãquasửdụng,Nhậpkhẩu,29.000km,Tp.HCM,Sốtựđộng,Xăng
Bentley Flying Spur W12 2013,8900000000,2013,Sedan,Đãquasửdụng,Nhậpkhẩu,30.000km,HàNội,Sốtựđộng,Xăng
Rolls-Royce Phantom 2014,28990000000,2014,Sedan,Đãquasửdụng,Nhậpkhẩu,13.000km,HàNội,Sốtựđộng,Xăng
Bentley Mulsanne 6.8 V8 2013,11990000000,2013,Sedan,Đãquasửdụng,Nhậpkhẩu,35.000km,HàNội,Sốtựđộng,Xăng
Peugeot 3008 Allure 2021,1025000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,12.000km,Tp.HCM,Sốtựđộng,Xăng
Zotye Hunter 1.3 MT 2011,100000000,2011,SUV,Đãquasửdụng,Nhậpkhẩu,150.000km,ĐồngNai,Sốtay,Xăng
Mazda CX-5 2.5 Premium AT 2WD 2020,875000000,2020,SUV,Đãquasửdụng,Trongnước,38.000km,HàNội,Sốtựđộng,Xăng
Bentley Continental GT V8 2016,7900000000,2016,Sedan,Đãquasửdụng,Nhậpkhẩu,10.000km,Tp.HCM,Sốtựđộng,Xăng
Ford Ranger Wildtrak 3.2 4x4 AT 2016,710000000,2016,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,62.000km,HàNội,Sốtựđộng,Diesel
Mitsubishi Outlander 2.0 CVT 2020,765000000,2020,SUV,Đãquasửdụng,Trongnước,29.000km,Tp.HCM,Sốtựđộng,Xăng
Rolls-Royce Phantom 2011,19500000000,2011,Sedan,Đãquasửdụng,Nhậpkhẩu,25.000km,HàNội,Sốtựđộng,Xăng
Ford Ranger Wildtrak 3.2 4x4 AT 2015,715000000,2015,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,80.000km,Tp.HCM,Sốtựđộng,Diesel
Mazda CX-5 2.0 Premium 2020,840000000,2020,SUV,Đãquasửdụng,Nhậpkhẩu,33.000km,ĐàNẵng,Sốtựđộng,Xăng
Ford Ranger XLS 2.2 4x2 AT 2019,689000000,2019,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,20.000km,Tp.HCM,Sốtựđộng,Diesel
Nissan Navara NP300E 4x2MT 2015,485000000,2015,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,50.000km,Tp.HCM,Sốtay,Diesel
Mazda 3 1.5L Sedan 2016,488000000,2016,Sedan,Đãquasửdụng,Trongnước,HàNội,Sốtựđộng,Xăng
Mercedes-Benz E300 AMG 2017,855000000,2017,Sedan,Đãquasửdụng,Trongnước,HàNội,Sốtựđộng,
Mercedes-Benz E300 AMG 2018,1879000000,2018,Sedan,Đãquasửdụng,Trongnước,49.000km,Tp.HCM,Sốtựđộng,Xăng
Hyundai County 2014,275000000,2014,Van/Minivan,Đãquasửdụng,Trongnước,200.000km,HàNội,Sốtay,Diesel
Hãng khác Xe cổ 1987,2500000000,1987,Coupe,Đãquasửdụng,Nhậpkhẩu,50.000km,Tp.HCM,Sốtựđộng,Xăng
Mercedes-Benz V 220 2015,1860000000,2015,Van/Minivan,Đãquasửdụng,Nhậpkhẩu,50.000km,HàNội,Sốtựđộng,Diesel
Hyundai Starex 2.5 MT 2016,690000000,2016,Van/Minivan,Đãquasửdụng,Nhậpkhẩu,80.000km,HàNội,Sốtựđộng,Xăng
Land Rover Range Rover HSE 5.0 AT 2021,4680000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,HàNội,
Kia Forte 2009,290000000,2009,Sedan,Đãquasửdụng,Nhậpkhẩu,11.000km,PhúThọ,Sốtựđộng,Xăng
Ford Explorer 2.3L Ecoboost 2016,1320000000,2016,SUV,Đãquasửdụng,Nhậpkhẩu,34.000km,HàNội,Sốtựđộng,Xăng
Mercedes-Benz C180 AMG 2020,1390000000,2020,Sedan,Đãquasửdụng,Trongnước,5.500km,Tp.HCM,Sốtựđộng,Xăng
Mercedes-Benz GLC 200 2.0 I4 2021,1799000000,2021,SUV,Đãquasửdụng,Trongnước,15km,Tp.HCM,Sốtựđộng,Xăng
Mercedes-Benz GLC 200 4Matic 2021,2099000000,2021,SUV,Đãquasửdụng,Trongnước,20km,Tp.HCM,Sốtựđộng,Xăng
