Tên xe,Giá,Năm sản xuất,Kiểu dáng,Tình trạng,Xuất xứ,Số km đã đi,Tỉnh thành,Hộp số,Nhiên liệu
Toyota Camry 2.0E 2018,835000000,2018,Sedan,Đãquasửdụng,Trongnước,30.000km,Tp.HCM,Sốtựđộng,Xăng
Honda CR-V 2.4AT 2016,720000000,2016,SUV,Đãquasửdụng,Trongnước,100.000km,HàNội,Sốtựđộng,Xăng
Toyota Fortuner 2.4 AT 4x2 Legender 2022,1299000000,2022,SUV,Đãquasửdụng,Trongnước,5.800km,HàNội,Sốtựđộng,Diesel
Kia Sedona 3.3 GATH 2018,955000000,2018,MPV,Đãquasửdụng,Trongnước,50.000km,Tp.HCM,Sốtựđộng,Xăng
Mercedes-Maybach S 400 4MATIC 2016,2680000000,2016,Sedan,Đãquasửdụng,Trongnước,30.900km,HàNội,Sốtựđộng,Xăng
Ford Ranger XLS 2.2 4x2 MT 2017,559000000,2017,Pick-upTruck,Đãquasửdụng,Trongnước,50.000km,Tp.HCM,Sốtay,Xăng
Ford Ranger Wildtrak 2.0L 4x4 AT 2019,885000000,2019,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,58.000km,Tp.HCM,Sốtựđộng,
Mercedes-Benz GL 400 2014,1900000000,2014,SUV,Đãquasửdụng,Nhậpkhẩu,72.000km,HàNội,Sốtựđộng,Xăng
Land Rover Range Rover 2013,3750000000,2013,SUV,Đãquasửdụng,Nhậpkhẩu,54.718km,HàNội,Sốtựđộng,Xăng
Land Rover Range Rover 2013,3790000000,2013,SUV,Đãquasửdụng,Nhậpkhẩu,60.000km,HàNội,Sốtựđộng,Xăng
Toyota Innova 2.0G 2010,229000000,2010,MPV,Đãquasửdụng,Trongnước,125.000km,HàNội,Sốtay,Xăng
Ford EcoSport Titanium 1.5L AT 2021,590000000,2021,SUV,Đãquasửdụng,Trongnước,10.000km,Tp.HCM,Sốtựđộng,Xăng
BMW 320i M Sport 2016,899000000,2016,Sedan,Đãquasửdụng,Nhậpkhẩu,32.187km,HàNội,Sốtựđộng,Xăng
Mercedes-Benz C 250 Exclusive 2015,980000000,2015,Sedan,Đãquasửdụng,Trongnước,50.000km,HàNội,Sốtựđộng,Xăng
Toyota Fortuner 2010,525000000,2010,SUV,Đãquasửdụng,Trongnước,90.000km,BìnhPhước,Sốtay,Diesel
